195	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\__tests__\manual_test_ui.py
190	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\frontend\pdf-home\js_console_logger.py
190	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\protocol.py
185	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\pdfFile_server\server\http_server.py
181	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\plugins\pdf_info\write_ops.py
179	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\frontend\common\launch_config.py
176	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\frontend\pdf-viewer\pyqt\screenshot_handler.py
175	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\transaction.py
169	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\__tests__\test_transaction.py
169	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\logging\cdp_logger.py
168	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\handlers\pdf_viewer\annotation.py
164	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\handlers\pdf_viewer\viewer.py
164	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\frontend\pdf-viewer\pyqt\js_console_logger_qt.py
162	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\handlers\pdf_viewer\anchor.py
157	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\api\pdf-home\add\service.py
146	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\__tests__\test_backend_launcher.py
141	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\core\message_types.py
140	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\config.py
135	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\pdfFile_server\cli\main.py
135	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\plugins\__tests__\fixtures\search_condition_samples.py
132	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\pdfFile_server\__tests__\manual_test_embed_fileserver.py
129	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\plugins\__tests__\fixtures\pdf_bookmark_samples.py
125	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\launcher\config.py
125	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\frontend\pdf-home\launcher.integrated-websocket.example.py
124	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\plugins\pdf_info_plugin.py
123	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\handlers\storage_kv.py
119	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\__tests__\test_connection.py
116	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\database\plugins\pdf_info\validate.py
116	C:\Users\napretep\PycharmProjects\anki-linkmaster-PDFJS\src\backend\msgCenter_server\handlers\pdf_viewer\bookmark.py
